num_layers,feed_per_layer_g,water_litres,maize_percentage,season,veterinary_visits_per_month,farmers_experience_years,chicken_breed,age_weeks,eggs_per_day
1426,147.79257921161397,85.68087058126292,68.98455001363845,rainy,1,18,noiler,92,714
1987,139.05330837693117,67.89762106379403,66.09993861334124,dry,1,20,fulani,93,795
1637,131.48538589793426,120.4723026098962,44.5614570099021,rainy,1,15,noiler,72,996
1808,136.4526911140863,83.87337731622081,33.25257964926398,dry,0,13,shika_brown,26,966
1669,105.86032684038304,155.79262371170196,52.007624686980066,rainy,3,7,noiler,95,895
1711,118.70266456536466,132.80952296489352,57.33551396716398,dry,4,17,shika_brown,61,992
461,123.70901416010886,189.7322412111312,66.36359979282105,rainy,3,24,other,97,237
1091,121.40519960161535,99.3308313562333,57.13480415791243,rainy,4,14,other,82,596
820,146.33468615779944,87.82019541478414,30.27610585618012,rainy,2,16,noiler,52,534
434,151.00231466738796,122.92309437934847,34.77050582452057,rainy,4,2,sasso,52,268
1260,122.97561248522739,196.03969335447454,72.4456912133042,rainy,1,22,noiler,26,1004
1191,106.47348561959826,64.40008599614279,61.82052056318902,dry,4,3,other,40,684
530,124.62297538213778,165.77715939602683,41.43990827458112,dry,2,18,sasso,83,255
1312,152.28763541126307,172.514090765876,39.32850294430179,dry,2,22,sasso,79,659
1548,116.32793496307812,150.67661687579073,30.02601884976579,rainy,0,2,noiler,26,1078
1557,120.25691028421768,192.0073585477527,46.160146601037766,dry,0,19,fulani,79,623
1820,115.23492483606069,94.56264879740417,64.81521364198942,rainy,0,4,fulani,73,728
941,124.66222079909387,64.62710260607678,47.25356240133415,rainy,2,1,other,61,477
1029,159.13902724663603,93.88773801161005,63.606777370293926,rainy,2,16,other,87,472
443,150.11814973535428,104.90920909604301,39.32592551999271,rainy,2,19,sasso,76,242
702,142.66897194628106,173.33014645956015,47.43329936458647,rainy,3,8,fulani,57,393
940,140.54140702235685,162.9302566937081,40.45358103688568,rainy,1,2,sasso,33,724
645,158.93010059976615,132.32902477794198,43.04145874152045,rainy,3,4,other,49,332
1422,142.02146979836627,178.53255991336283,72.81621459390462,dry,0,23,sasso,92,661
1948,109.69772284567682,185.7975863937911,60.321452982979494,rainy,0,2,fulani,35,1013
1121,126.90544857917484,199.2240447655149,38.79626263386727,dry,0,13,other,65,466
1827,138.97797394283288,178.8912774691849,62.88064461501717,rainy,3,18,other,68,1072
525,121.00470446168055,150.31447068427906,63.44620298315498,rainy,4,15,noiler,21,459
846,146.11324085837853,66.10452804562073,79.72752553986706,dry,4,13,other,23,459
480,134.3375481502503,197.2464217202464,33.767312800306414,rainy,4,22,fulani,84,215
427,122.36121202564296,115.25680535332611,72.21065703631557,rainy,1,14,shika_brown,44,309
1427,141.8209444597161,158.34777175819528,47.97455756098776,rainy,1,22,shika_brown,67,844
1220,136.69082265194083,71.42318525603365,30.25924313869934,dry,4,19,fulani,25,630
1271,153.1970289370396,63.86634806231866,58.943244775377934,dry,2,24,shika_brown,80,545
1513,117.19247512769707,142.7166564796615,31.52501249695247,dry,1,5,noiler,77,799
1895,112.9492616498106,147.20466661466003,34.2673732496884,rainy,3,14,noiler,72,1114
1235,143.5654800233597,196.61929112475485,55.81501741505977,dry,2,16,noiler,75,659
1381,154.91282365758883,121.92931216235462,41.98936795787016,dry,0,7,other,18,669
1595,131.001775445594,151.99558599002336,51.78364493389455,rainy,2,11,shika_brown,33,1243
1370,102.4437281391382,179.764481761541,65.18289296900119,dry,1,15,other,56,745
1935,110.39211219460091,120.73923089331623,49.92523671986867,dry,4,3,shika_brown,69,1084
741,130.06239303491554,135.51284277600877,64.19818846990705,dry,1,16,sasso,49,476
1798,148.05695768094398,154.80356793361744,58.668352083596666,rainy,0,18,noiler,29,1185
1366,111.74746808735779,69.71058212252316,35.038900068871335,dry,4,18,shika_brown,52,785
1026,104.27131890761373,104.65658824112658,72.24376554847274,dry,1,18,fulani,24,568
1816,156.19888911134245,65.48608573459047,50.89730158577893,rainy,0,3,shika_brown,90,726
1219,148.41008435603584,198.67071988009425,50.630883845571326,dry,0,6,other,29,662
516,114.29416914423877,112.88204406468128,56.71637367652817,dry,0,21,other,76,207
1342,123.35210072404979,61.51727120724177,75.26909882096318,dry,0,6,sasso,95,537
1829,137.91023273018794,122.78237307696477,44.66053858490323,rainy,3,20,sasso,70,1236
1474,146.87776302827217,75.88504428244272,76.54645528436463,dry,1,4,noiler,92,627
1576,150.30884582583911,119.65280650657175,41.12882087855152,rainy,1,1,other,46,881
1488,113.99368434547166,141.38275841174953,73.1569260994502,dry,3,16,fulani,62,670
1738,128.90001927784692,112.91826261711563,65.254218214833,dry,1,18,noiler,62,1091
952,124.31212520688503,140.0062235287015,67.04869304553341,dry,4,8,fulani,20,555
1514,128.66289345281365,71.60478503706959,56.41850606486046,rainy,1,11,other,49,898
472,102.58959471703457,184.76003591772997,56.385055454314994,rainy,3,4,sasso,36,374
1556,113.00854639518947,101.22915255752018,79.79156875146853,dry,2,15,fulani,92,622
1335,157.52214444447077,68.10094568607903,49.72608993040649,dry,3,20,shika_brown,53,591
1501,115.95627549785434,110.44831332873756,42.99749314271313,rainy,0,8,fulani,94,600
1031,116.25745855090778,78.64591753132495,33.81001897995816,dry,1,18,other,64,498
1328,101.58201846983512,112.70487136292695,70.52766653909165,dry,0,10,other,43,720
362,123.57936693873154,176.08299089891202,58.45407345828738,rainy,1,8,noiler,18,289
1968,159.7982102244343,137.76043878436784,68.44937075902553,rainy,1,9,noiler,34,1409
1408,127.03264811860561,78.0823181212093,77.70255136293612,rainy,3,0,fulani,49,618
737,146.33910350413836,132.8228901556791,72.609075015927,dry,3,4,noiler,74,374
700,108.04091370703844,64.02957468386745,67.75686278368096,rainy,1,10,noiler,55,512
1629,135.39506121127798,114.91416631396253,51.873746101186455,rainy,1,19,fulani,55,855
1804,147.0191807644686,115.51598952497783,61.10433501139367,rainy,0,4,other,21,993
1084,115.4946632979375,124.27900587335658,79.00162876427385,rainy,1,12,noiler,60,722
410,107.73278331463895,77.92641745408814,37.595134675614716,dry,3,7,sasso,73,239
966,140.05346431126162,84.12478196822818,39.61445094043354,rainy,4,4,shika_brown,59,630
833,105.32215202542334,76.88902195408411,53.03893840163629,dry,1,16,shika_brown,62,470
346,137.67402336945446,71.44626447284207,73.67893120533887,rainy,4,16,shika_brown,53,245
1580,105.07102046084091,143.61893151576027,79.31284979334076,rainy,1,22,shika_brown,43,1134
1049,144.97697392051523,64.26610138270318,73.36074905373616,dry,2,18,fulani,45,508
1013,133.83790552113018,177.69939802291037,34.46021643560281,dry,3,24,fulani,30,608
366,138.92937041749457,127.14149424559503,59.209974235708465,dry,1,14,fulani,59,187
724,120.24681003231508,185.95063560030172,60.37776111467864,rainy,2,12,other,50,482
1673,111.19402144307834,99.91332361713859,38.66867976473774,rainy,0,22,noiler,48,924
1363,141.8176877419853,199.6157748675752,74.83051314870104,dry,3,10,sasso,96,656
803,143.37376579730653,174.92060624146936,65.92286354182768,rainy,1,18,other,61,484
1968,111.2226249134514,105.31509309659411,51.271821930820835,rainy,3,16,sasso,64,1295
1873,134.87429328535674,81.61078013838832,54.05700509274087,rainy,2,0,shika_brown,27,1183
560,103.80249822836606,198.59443253459233,46.11769224873615,dry,3,0,other,90,224
1873,124.71045484883611,108.84155731601933,76.4764572123913,dry,3,11,shika_brown,95,916
675,159.45576858744343,88.70025340745322,48.96142924819002,rainy,3,7,noiler,31,491
1488,148.8744832138829,153.127610897468,56.153271238455964,dry,0,12,shika_brown,35,859
595,127.11691607794236,159.92954367974562,74.98337226460865,rainy,0,22,fulani,42,286
1120,154.38832665787282,147.3933194279589,35.8449020354182,dry,2,6,noiler,89,448
853,108.35632435980324,171.16352649784142,61.00363779642568,dry,2,3,other,55,498
1734,144.6367775543606,64.69454086300911,58.49448424356582,dry,4,9,fulani,55,791
1482,122.72929393341494,123.98003069943496,60.19789360362563,rainy,4,7,other,46,1011
429,100.73218433908266,143.78197816873177,58.27541736614869,dry,2,4,sasso,28,292
1577,154.50703368001768,141.67485126725688,50.042570838181994,rainy,1,13,noiler,29,1082
1939,152.3274345366491,190.49655954770574,58.25665917946044,dry,4,23,other,89,776
426,109.15234257485568,140.68037042335385,60.3357523191428,dry,2,13,fulani,28,231
1728,109.93123062203739,86.0849231291769,71.8745394501246,rainy,2,7,other,64,902
1268,144.65497911059734,88.78117317258925,69.38949443572463,dry,0,2,sasso,42,626
646,127.13307645338843,91.44467521159747,52.621975806634666,rainy,0,6,sasso,87,260
1824,154.890754064086,110.73514587632863,59.029417513902175,dry,1,17,other,66,730
775,132.10418313601951,85.82480199863986,44.97979558832385,dry,4,22,noiler,73,430
1022,120.96321994295998,125.5524559817931,61.24879935255261,rainy,2,17,fulani,95,463
801,126.44576481629369,116.10682852254564,57.982016565410895,rainy,3,0,other,72,425
1966,122.39855897678518,97.90425424009753,62.19997716195079,dry,0,22,sasso,49,1111
1132,133.10335571556038,95.5443989660626,39.80565498467264,rainy,4,7,fulani,84,525
1374,139.16476647111247,93.34558934654171,34.97206963796726,dry,2,15,sasso,54,825
1122,153.78014911126718,61.820269291503045,34.2754265427234,rainy,4,18,other,36,573
1871,138.5755338168552,158.5524589193913,75.5312001770152,rainy,3,10,shika_brown,19,1364
1855,137.44893447094805,117.31763130677366,57.60235904259901,dry,4,11,noiler,41,1300
892,152.10807855387478,128.24036775493192,74.72761134470457,dry,0,17,noiler,98,357
536,124.15300261581883,90.52323504917211,62.25270838846647,dry,3,12,shika_brown,54,324
374,149.35503255470044,134.15263501171137,70.75272142012285,rainy,1,16,other,42,255
